======================================================================
ALL submodules inside cv2.model.flow (CausalMaskedDiffWithXvec)
======================================================================
  flow.                                                   | CausalMaskedDiffWithXvec            | 112.55M
  flow.input_embedding                                    | Embedding                           | 3.36M
  flow.spk_embed_affine_layer                             | Linear                              | 0.02M
  flow.encoder                                            | UpsampleConformerEncoder            | 37.83M
  flow.encoder.embed                                      | LinearNoSubsampling                 | 0.26M
  flow.encoder.embed.out                                  | Sequential                          | 0.26M
  flow.encoder.embed.out.0                                | Linear                              | 0.26M
  flow.encoder.embed.out.1                                | LayerNorm                           | 0.00M
  flow.encoder.embed.out.2                                | Dropout                             | 0.00M
  flow.encoder.embed.pos_enc                              | EspnetRelPositionalEncoding         | 0.00M
  flow.encoder.embed.pos_enc.dropout                      | Dropout                             | 0.00M
  flow.encoder.after_norm                                 | LayerNorm                           | 0.00M
  flow.encoder.pre_lookahead_layer                        | PreLookaheadLayer                   | 1.84M
  flow.encoder.pre_lookahead_layer.conv1                  | Conv1d                              | 1.05M
  flow.encoder.pre_lookahead_layer.conv2                  | Conv1d                              | 0.79M
  flow.encoder.encoders                                   | ModuleList                          | 20.49M
  flow.encoder.encoders.0                                 | ConformerEncoderLayer               | 3.42M
  flow.encoder.encoders.0.self_attn                       | RelPositionMultiHeadedAttention     | 1.31M
  flow.encoder.encoders.0.self_attn.linear_q              | Linear                              | 0.26M
  flow.encoder.encoders.0.self_attn.linear_k              | Linear                              | 0.26M
  flow.encoder.encoders.0.self_attn.linear_v              | Linear                              | 0.26M
  flow.encoder.encoders.0.self_attn.linear_out            | Linear                              | 0.26M
  flow.encoder.encoders.0.self_attn.dropout               | Dropout                             | 0.00M
  flow.encoder.encoders.0.self_attn.linear_pos            | Linear                              | 0.26M
  flow.encoder.encoders.0.feed_forward                    | PositionwiseFeedForward             | 2.10M
  flow.encoder.encoders.0.feed_forward.w_1                | Linear                              | 1.05M
  flow.encoder.encoders.0.feed_forward.activation         | SiLU                                | 0.00M
  flow.encoder.encoders.0.feed_forward.dropout            | Dropout                             | 0.00M
  flow.encoder.encoders.0.feed_forward.w_2                | Linear                              | 1.05M
  flow.encoder.encoders.0.norm_ff                         | LayerNorm                           | 0.00M
  flow.encoder.encoders.0.norm_mha                        | LayerNorm                           | 0.00M
  flow.encoder.encoders.0.dropout                         | Dropout                             | 0.00M
  flow.encoder.encoders.1                                 | ConformerEncoderLayer               | 3.42M
  flow.encoder.encoders.1.self_attn                       | RelPositionMultiHeadedAttention     | 1.31M
  flow.encoder.encoders.1.self_attn.linear_q              | Linear                              | 0.26M
  flow.encoder.encoders.1.self_attn.linear_k              | Linear                              | 0.26M
  flow.encoder.encoders.1.self_attn.linear_v              | Linear                              | 0.26M
  flow.encoder.encoders.1.self_attn.linear_out            | Linear                              | 0.26M
  flow.encoder.encoders.1.self_attn.dropout               | Dropout                             | 0.00M
  flow.encoder.encoders.1.self_attn.linear_pos            | Linear                              | 0.26M
  flow.encoder.encoders.1.feed_forward                    | PositionwiseFeedForward             | 2.10M
  flow.encoder.encoders.1.feed_forward.w_1                | Linear                              | 1.05M
  flow.encoder.encoders.1.feed_forward.dropout            | Dropout                             | 0.00M
  flow.encoder.encoders.1.feed_forward.w_2                | Linear                              | 1.05M
  flow.encoder.encoders.1.norm_ff                         | LayerNorm                           | 0.00M
  flow.encoder.encoders.1.norm_mha                        | LayerNorm                           | 0.00M
  flow.encoder.encoders.1.dropout                         | Dropout                             | 0.00M
  flow.encoder.encoders.2                                 | ConformerEncoderLayer               | 3.42M
  flow.encoder.encoders.2.self_attn                       | RelPositionMultiHeadedAttention     | 1.31M
  flow.encoder.encoders.2.self_attn.linear_q              | Linear                              | 0.26M
  flow.encoder.encoders.2.self_attn.linear_k              | Linear                              | 0.26M
  flow.encoder.encoders.2.self_attn.linear_v              | Linear                              | 0.26M
  flow.encoder.encoders.2.self_attn.linear_out            | Linear                              | 0.26M
  flow.encoder.encoders.2.self_attn.dropout               | Dropout                             | 0.00M
  flow.encoder.encoders.2.self_attn.linear_pos            | Linear                              | 0.26M
  flow.encoder.encoders.2.feed_forward                    | PositionwiseFeedForward             | 2.10M
  flow.encoder.encoders.2.feed_forward.w_1                | Linear                              | 1.05M
  flow.encoder.encoders.2.feed_forward.dropout            | Dropout                             | 0.00M
  flow.encoder.encoders.2.feed_forward.w_2                | Linear                              | 1.05M
  flow.encoder.encoders.2.norm_ff                         | LayerNorm                           | 0.00M
  flow.encoder.encoders.2.norm_mha                        | LayerNorm                           | 0.00M
  flow.encoder.encoders.2.dropout                         | Dropout                             | 0.00M
  flow.encoder.encoders.3                                 | ConformerEncoderLayer               | 3.42M
  flow.encoder.encoders.3.self_attn                       | RelPositionMultiHeadedAttention     | 1.31M
  flow.encoder.encoders.3.self_attn.linear_q              | Linear                              | 0.26M
  flow.encoder.encoders.3.self_attn.linear_k              | Linear                              | 0.26M
  flow.encoder.encoders.3.self_attn.linear_v              | Linear                              | 0.26M
  flow.encoder.encoders.3.self_attn.linear_out            | Linear                              | 0.26M
  flow.encoder.encoders.3.self_attn.dropout               | Dropout                             | 0.00M
  flow.encoder.encoders.3.self_attn.linear_pos            | Linear                              | 0.26M
  flow.encoder.encoders.3.feed_forward                    | PositionwiseFeedForward             | 2.10M
  flow.encoder.encoders.3.feed_forward.w_1                | Linear                              | 1.05M
  flow.encoder.encoders.3.feed_forward.dropout            | Dropout                             | 0.00M
  flow.encoder.encoders.3.feed_forward.w_2                | Linear                              | 1.05M
  flow.encoder.encoders.3.norm_ff                         | LayerNorm                           | 0.00M
  flow.encoder.encoders.3.norm_mha                        | LayerNorm                           | 0.00M
  flow.encoder.encoders.3.dropout                         | Dropout                             | 0.00M
  flow.encoder.encoders.4                                 | ConformerEncoderLayer               | 3.42M
  flow.encoder.encoders.4.self_attn                       | RelPositionMultiHeadedAttention     | 1.31M
  flow.encoder.encoders.4.self_attn.linear_q              | Linear                              | 0.26M
  flow.encoder.encoders.4.self_attn.linear_k              | Linear                              | 0.26M
  flow.encoder.encoders.4.self_attn.linear_v              | Linear                              | 0.26M
  flow.encoder.encoders.4.self_attn.linear_out            | Linear                              | 0.26M
  flow.encoder.encoders.4.self_attn.dropout               | Dropout                             | 0.00M
  flow.encoder.encoders.4.self_attn.linear_pos            | Linear                              | 0.26M
  flow.encoder.encoders.4.feed_forward                    | PositionwiseFeedForward             | 2.10M
  flow.encoder.encoders.4.feed_forward.w_1                | Linear                              | 1.05M
  flow.encoder.encoders.4.feed_forward.dropout            | Dropout                             | 0.00M
  flow.encoder.encoders.4.feed_forward.w_2                | Linear                              | 1.05M
  flow.encoder.encoders.4.norm_ff                         | LayerNorm                           | 0.00M
  flow.encoder.encoders.4.norm_mha                        | LayerNorm                           | 0.00M
  flow.encoder.encoders.4.dropout                         | Dropout                             | 0.00M
  flow.encoder.encoders.5                                 | ConformerEncoderLayer               | 3.42M
  flow.encoder.encoders.5.self_attn                       | RelPositionMultiHeadedAttention     | 1.31M
  flow.encoder.encoders.5.self_attn.linear_q              | Linear                              | 0.26M
