emotion,alpha,wer,ssim,nmos,acc,conf,margin,gain,esim
anger,0.5,12.880230880230883,0.8507510842879613,3.234658203125,0.0,0.0,0.0,0.0,-1.0
anger,1.0,13.475060125060127,0.8393139799435934,3.2261393229166666,0.0,0.0,0.0,0.0,-1.0
anger,1.5,13.641209716209715,0.8370742565393448,3.2100944010416668,0.0,0.0,0.0,0.0,-1.0
anger,2.0,13.902861952861956,0.8281755655010541,3.1955110677083334,0.0,0.0,0.0,0.0,-1.0
happiness,0.5,13.329954304954303,0.8471485618750254,3.2307389322916666,0.0,0.0,0.0,0.0,-1.0
happiness,1.0,14.001382876382875,0.8458958157896995,3.2013834635416667,0.0,0.0,0.0,0.0,-1.0
happiness,1.5,13.195851370851372,0.8409790023167928,3.2094205729166667,0.0,0.0,0.0,0.0,-1.0
happiness,2.0,13.361171236171234,0.8366280089815458,3.226637369791667,0.0,0.0,0.0,0.0,-1.0
sadness,0.5,13.56290283790284,0.8515417857964833,3.218896484375,0.0,0.0,0.0,0.0,-1.0
sadness,1.0,12.52005772005772,0.845714095234871,3.209189453125,0.0,0.0,0.0,0.0,-1.0
sadness,1.5,13.069396344396342,0.8346316749850909,3.181715494791667,0.0,0.0,0.0,0.0,-1.0
sadness,2.0,13.460521885521883,0.8319036134084066,3.1359830729166664,0.0,0.0,0.0,0.0,-1.0
disgust,0.5,13.000204425204426,0.8487386394540469,3.226448567708333,0.0,0.0,0.0,0.0,-1.0
disgust,1.0,13.163552188552188,0.8431199334065119,3.2555859375,0.0,0.0,0.0,0.0,-1.0
disgust,1.5,13.13724146224146,0.8406886026263237,3.239729817708333,0.0,0.0,0.0,0.0,-1.0
disgust,2.0,13.701250601250603,0.8324375154574712,3.218349609375,0.0,0.0,0.0,0.0,-1.0
fear,0.5,13.789237614237615,0.8457251110672951,3.220159505208333,0.0,0.0,0.0,0.0,-1.0
fear,1.0,13.958140933140934,0.8442125586668651,3.2058235677083333,0.0,0.0,0.0,0.0,-1.0
fear,1.5,13.203908128908129,0.8362838087479273,3.1900455729166666,0.0,0.0,0.0,0.0,-1.0
fear,2.0,13.789742664742665,0.81857812166214,3.2084391276041666,0.0,0.0,0.0,0.0,-1.0
surprise,0.5,13.461050986050985,0.8429183373848598,3.271513671875,0.0,0.0,0.0,0.0,-1.0
surprise,1.0,13.998617123617125,0.8367746544877688,3.249638671875,0.0,0.0,0.0,0.0,-1.0
surprise,1.5,13.730772005772005,0.8347861221432686,3.251318359375,0.0,0.0,0.0,0.0,-1.0
surprise,2.0,13.521897546897547,0.8202996223171553,3.2369270833333332,0.0,0.0,0.0,0.0,-1.0
